model,threshold,retention_pct,mAP,AUC
ESM-2,0.3,51.0,0.7672,0.9679
ESM-2,0.4,59.5,0.8036,0.9737
ESM-2,0.5,66.9,0.822,0.977
ESM-2,0.6,74.5,0.8438,0.9799
ESM-2,0.7,81.0,0.8584,0.9818
ESM-2,0.8,87.8,0.8719,0.9835
ESM-2,0.9,94.7,0.8809,0.9843
ESM-2,1.0,99.5,0.8839,0.9851
ProtBERT,0.3,51.0,0.6509,0.9479
ProtBERT,0.4,59.5,0.6988,0.9559
ProtBERT,0.5,66.9,0.7351,0.9628
ProtBERT,0.6,74.5,0.7778,0.9675
ProtBERT,0.7,81.0,0.798,0.97
ProtBERT,0.8,87.8,0.8172,0.9726
ProtBERT,0.9,94.7,0.8334,0.9749
ProtBERT,1.0,99.5,0.8378,0.9762
