alpha,threshold,retention_pct,mAP,AUC
0.0,0.3,42.2,0.7145,0.9562
0.0,0.4,49.7,0.7714,0.9667
0.0,0.5,56.9,0.8174,0.9734
0.0,0.6,64.8,0.8671,0.9799
0.0,0.7,72.5,0.8916,0.9835
0.0,0.8,81.0,0.9063,0.9857
0.0,0.9,91.1,0.9189,0.9874
0.0,1.0,99.3,0.9219,0.9884
0.3,0.3,42.2,0.7065,0.9495
0.3,0.4,49.7,0.7516,0.9605
0.3,0.5,56.9,0.798,0.9679
0.3,0.6,64.8,0.8444,0.9754
0.3,0.7,72.5,0.8704,0.9793
0.3,0.8,81.0,0.8867,0.982
0.3,0.9,91.1,0.9004,0.984
0.3,1.0,99.3,0.9038,0.9852
0.5,0.3,42.2,0.68,0.9444
0.5,0.4,49.7,0.7143,0.9552
0.5,0.5,56.9,0.7606,0.963
0.5,0.6,64.8,0.8082,0.9707
0.5,0.7,72.5,0.8347,0.9746
0.5,0.8,81.0,0.854,0.9776
0.5,0.9,91.1,0.8718,0.9801
0.5,1.0,99.3,0.8755,0.9816
0.7,0.3,42.2,0.6432,0.9397
0.7,0.4,49.7,0.6686,0.9475
0.7,0.5,56.9,0.7079,0.9548
0.7,0.6,64.8,0.752,0.9616
0.7,0.7,72.5,0.7797,0.9653
0.7,0.8,81.0,0.8034,0.9688
0.7,0.9,91.1,0.8239,0.9719
0.7,1.0,99.3,0.827,0.9737
1.0,0.3,42.2,0.5157,0.8839
1.0,0.4,49.7,0.5172,0.8865
1.0,0.5,56.9,0.5381,0.8955
1.0,0.6,64.8,0.5794,0.9056
1.0,0.7,72.5,0.6109,0.9113
1.0,0.8,81.0,0.6407,0.9173
1.0,0.9,91.1,0.663,0.9228
1.0,1.0,99.3,0.6671,0.9265
